GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCPM
Mitd1,5.749,-0.1899,0.8732,NotDiff,1.596,0.1778,1.147,2.352
Mrpl30,7.434,-0.1015,0.9123,NotDiff,5.395,5.97,5.691,5.946
Txndc9,7.574,0.2906,0.724,NotDiff,7.55,7.2,7.548,7.441
Eif5b,4.503,-0.8281,0.6089,NotDiff,7.492,7.951,7.579,7.276
Rev1,1.766,-1.816,0.7225,NotDiff,3.591,4.599,5.401,4.432
Aff3,0.01855,-5.598,0.4358,NotDiff,-0.1708,2.518,0.9706,3.856
Chst10,4.361,0.4442,0.788,NotDiff,-3.76,-0.2815,1.939,3.421
Pdcl3,6.543,-0.02562,0.9856,NotDiff,4.954,4.03,4.952,3.519
Rpl31,6.808,-0.5221,0.539,NotDiff,6.543,6.55,6.248,6.832
Cnot11,6.362,0.6811,0.4539,NotDiff,6.915,6.137,7.128,7.054
Rnf149,5.015,0.5041,0.7276,NotDiff,6.971,6.438,5.798,6.244
Creg2,-4.394,3.872,0.7468,NotDiff,5.09,5.535,4.344,5.097
Map4k4,3.339,0.5569,0.8123,NotDiff,0.9433,-4.271,-4.271,-4.271
Il1rl2,-2.892,6.59,0.489,NotDiff,2.814,4.494,3.407,2.666
Il1rl1,-0.04711,-4.615,0.5407,NotDiff,5.346,6.655,4.024,3.727
Il18r1,5.238,-0.1147,0.9419,NotDiff,-0.2823,1.279,-4.271,-4.271
Il18rap,6.132,-0.1348,0.9082,NotDiff,0.8929,-4.271,3.593,1.403
Mrps9,6.431,-0.3791,0.6977,NotDiff,5.382,5.01,4.913,5.652
Tgfbrap1,0.292,-2.904,0.6861,NotDiff,5.991,6.156,6.153,6.233
AI597479,4.348,0.5514,0.7464,NotDiff,6.339,6.137,6.592,6.657
Nck2,-0.3154,7.269,0.3724,NotDiff,-0.8414,-1.245,1.734,1.793
Uxs1,3.905,-1.022,0.5962,NotDiff,4.304,5.03,3.86,4.209
Tpp2,5.916,0.07284,0.9576,NotDiff,5.009,3.483,6.192,6.434
Tex30,6.805,-0.1413,0.8884,NotDiff,4.405,2.065,-3.58,-2.832
Kdelc1,3.36,-0.8846,0.7294,NotDiff,3.668,3.029,4.761,4.179
Bivm,0.0925,-4.437,0.5511,NotDiff,6.051,5.839,5.907,5.869
Ercc5,2.815,-0.2762,0.9391,NotDiff,6.504,7.029,6.46,7.228
Gulp1,-4.366,3.933,0.7432,NotDiff,1.957,3.988,4.373,3.149
Wdr75,5.486,-0.451,0.7275,NotDiff,1.932,-4.271,0.6869,3.822
Dnah7b,-4.223,-4.308,0.7275,NotDiff,2.112,3.159,4.052,1.975
Slc39a10,0.2139,-3.494,0.6413,NotDiff,1.055,-4.271,-4.271,-4.271
Nabp1,6.517,0.4398,0.6449,NotDiff,5.183,5.426,5.165,6.173
Myo1b,-4.271,4.138,0.7351,NotDiff,-4.271,-4.271,-4.271,1.627
Stat4,8.737,-0.1507,0.8104,NotDiff,2.557,-4.271,2.836,1.519
Gls,5.705,0.3448,0.7648,NotDiff,6.862,6.648,5.897,6.663
Nab1,7.712,-0.121,0.8834,NotDiff,1.429,-4.271,-4.271,-4.271
Tmem194b,4.926,-0.01758,0.9937,NotDiff,8.699,8.613,8.965,8.673
Mfsd6,4.197,-0.1563,0.9423,NotDiff,9.56,9.691,8.251,8.182
Inpp1,7.71,0.3963,0.5884,NotDiff,5.987,5.859,4.802,6.176
Hibch,4.707,-0.1983,0.9135,NotDiff,7.88,7.415,7.669,7.885
1700019D03Rik,3.577,-2.946,0.2625,NotDiff,5.247,4.552,4.887,5.025
Pms1,3.776,-1.424,0.4779,NotDiff,4.125,4.233,3.582,4.861
Ormdl1,6.703,-0.6438,0.4335,NotDiff,7.763,8.076,7.348,7.653
Osgepl1,4.333,-0.9404,0.5607,NotDiff,4.519,4.851,3.937,5.532
Asnsd1,7.529,-0.513,0.5007,NotDiff,3.172,0.8308,5.12,5.226
Stk17b,8.653,-0.1327,0.8605,NotDiff,3.077,3.179,3.779,5.088
Hecw2,-3.491,2.902,0.8007,NotDiff,6.543,6.211,6.944,7.117
Gtf3c3,3.095,2.391,0.4381,NotDiff,3.81,3.974,4.532,5.027
Pgap1,1.261,-0.4749,0.9423,NotDiff,7.711,6.807,7.677,7.922
Ankrd44,5.744,0.9032,0.4252,NotDiff,8.563,8.647,8.204,9.198
Sf3b1,7.991,0.05469,0.953,NotDiff,-4.271,2.7,-3.115,-4.271
Coq10b,6.651,-0.4498,0.6093,NotDiff,3.655,4.95,2.269,1.541
Hspd1,8.108,0.2276,0.7494,NotDiff,1.158,0.9961,1.126,1.856
Hspe1,7.51,-0.3724,0.6326,NotDiff,5.939,6.603,4.453,5.987
Mob4,6.473,0.05242,0.969,NotDiff,7.967,8.057,8.178,7.761
Mars2,4.683,0.7417,0.6188,NotDiff,6.609,6.226,6.872,6.901
Boll,-3.476,5.461,0.6039,NotDiff,8.339,8.112,7.798,8.185
Plcl1,-0.4369,5.889,0.4518,NotDiff,7.543,7.09,7.659,7.748
4930558J18Rik,-2.073,-1.674,0.877,NotDiff,6.679,6.336,6.146,6.733
1700066M21Rik,3.289,-0.0814,0.9846,NotDiff,5.257,4.793,4.53,4.163
Tyw5,4.261,-0.5404,0.7622,NotDiff,-1.766,0.5861,-4.271,-4.271
9430016H08Rik,4.982,0.4716,0.7415,NotDiff,3.136,1.546,0.1389,-4.271
Spats2l,-4.312,4.049,0.7388,NotDiff,0.232,-4.271,-3.115,1.223
Kctd18,3.211,1.466,0.5882,NotDiff,4.358,2.353,1.304,5.18
Sgol2a,0.5464,-0.3857,0.9675,NotDiff,4.467,3.613,3.511,5.467
Bzw1,9.041,0.2778,0.6584,NotDiff,4.865,5.565,5.123,4.384
Clk1,6.262,-0.8003,0.3895,NotDiff,1.267,-4.271,-4.271,-4.271
Ppil3,5.22,-0.2989,0.8071,NotDiff,4.461,3.591,1.478,3.344
Nif3l1,5.599,0.2442,0.831,NotDiff,2.462,-1.744,0.4388,1.29
Orc2,5.904,-0.01375,0.9936,NotDiff,9.119,9.244,8.932,8.871
Fam126b,-1.946,2.523,0.792,NotDiff,5.953,5.798,6.314,6.985
Ndufb3,5.886,-0.5401,0.6262,NotDiff,5.045,5.103,5.374,5.364
Gm20257,-2.016,-1.722,0.8748,NotDiff,5.782,5.689,5.23,5.699
Cflar,3.525,-0.5292,0.8014,NotDiff,5.644,6.201,5.783,5.994
Casp8,6.656,-0.5496,0.5117,NotDiff,1.688,-2.793,-1.866,-3.379
Trak2,2.422,1.484,0.698,NotDiff,5.974,5.257,5.809,6.508
Stradb,4.498,1.786,0.2102,NotDiff,0.3363,-4.271,-3.58,2.069
Tmem237,5.323,-0.1877,0.8915,NotDiff,3.247,3.265,3.937,3.672
Als2,3.317,0.1011,0.9779,NotDiff,6.459,6.299,6.916,6.954
Cdk15,-4.37,3.924,0.744,NotDiff,3.322,2.886,2.211,1.316
Fzd7,-4.682,2.934,0.8025,NotDiff,5.574,5.067,4.307,3.056
Sumo1,8.184,0.003402,0.9973,NotDiff,5.044,5.444,5.415,5.396
Nop58,6.596,-0.173,0.8704,NotDiff,2.416,4.548,3,3.332
Bmpr2,-1.49,4.361,0.6415,NotDiff,1.039,-4.271,-4.271,-4.271
Fam117b,5.712,1.418,0.1106,NotDiff,-4.271,0.2912,-4.271,-4.271
Wdr12,6.221,-1.205,0.1211,NotDiff,8.273,8.097,8.134,8.233
Carf,-1.069,-3.715,0.6931,NotDiff,5.919,7.129,6.998,6.342
Nbeal1,-1.609,-1.415,0.8985,NotDiff,0.5247,0.9276,-2.764,-3.379
Cyp20a1,5.248,0.429,0.7432,NotDiff,6.334,6.541,4.862,5.117
Abi2,4.141,-1.385,0.4485,NotDiff,5.446,5.82,6.776,6.843
Raph1,2.702,-0.007299,0.9993,NotDiff,0.2851,-4.271,-0.8351,2.449
Cd28,7.622,0.1712,0.8192,NotDiff,1.07,-4.271,2.241,-3.08
Ino80d,2.112,-1.305,0.7494,NotDiff,5.104,5.856,5.133,4.905
Ino80dos,-0.6926,-0.5154,0.9647,NotDiff,3.562,3.475,3.885,5.657
Ndufs1,6.524,0.09678,0.9308,NotDiff,3.29,2.065,2.431,3.056
Eef1b2,9.816,-0.6278,0.204,NotDiff,7.69,7.75,7.264,7.787
Zdbf2,-4.205,4.279,0.7276,NotDiff,9.714,9.653,8.315,8.747
Fastkd2,5.564,-1.053,0.3475,NotDiff,9.34,9.248,8.091,8.216
Klf7,0.2587,-4.344,0.5511,NotDiff,2.19,0.8308,1.951,3.536
Creb1,4.948,-0.876,0.5121,NotDiff,0.3613,-2.078,0.2199,-0.8326
Mettl21a,4.196,-0.1924,0.9237,NotDiff,6.509,6.613,6.742,6.234
2810408I11Rik,0.621,-5.258,0.4359,NotDiff,9.84,9.146,10.08,10.19
Ccnyl1,0.2355,4.047,0.5575,NotDiff,1.688,-4.271,-4.271,-4.271
Fzd5,1.828,0.6797,0.8932,NotDiff,5.61,4.423,5.819,6.41
Plekhm3,-0.2369,2.401,0.7578,NotDiff,1.736,-4.271,3.785,1.574
