GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCPM
Hk1,6.357,0.682,0.4572,NotDiff,5.264,6.063,4.882,5.468
Hk1os,-0.7133,-4.595,0.5773,NotDiff,5.439,5.294,5.378,6.303
Supv3l1,4.927,0.9177,0.4829,NotDiff,-2,0.3621,0.5369,1.195
4930507D05Rik,-4.029,3.013,0.792,NotDiff,8.3,8.874,7.939,7.597
Vps26a,5.736,1.206,0.2396,NotDiff,2.758,3.439,3.121,2.936
Srgn,10.18,-0.1541,0.7712,NotDiff,6.859,6.601,5.405,5.591
Kif1bp,5.737,0.8371,0.4252,NotDiff,-0.207,-4.271,0.2966,-4.271
Ddx21,5.71,0.788,0.4518,NotDiff,3.82,-4.271,1.927,-1.557
Ddx50,5.832,-0.2183,0.8423,NotDiff,6.22,5.526,4.82,4.611
Stox1,-2.381,-7.765,0.3833,NotDiff,2.651,-0.7957,1.543,3.195
Ccar1,5.8,-0.4138,0.7233,NotDiff,8.89,8.906,8.614,8.792
Slc25a16,3.379,1.419,0.5449,NotDiff,-4.271,1.62,-4.271,-2.273
Dna2,3.574,0.125,0.967,NotDiff,4.569,3.227,3.649,2.666
Rufy2,1.743,-1.525,0.7494,NotDiff,3.096,2.862,3.116,2.881
Hnrnph3,2.099,-0.3479,0.9419,NotDiff,7.82,7.765,7.809,8.202
Herc4,5.742,0.3314,0.7602,NotDiff,8.45,8.771,7.873,7.93
Sirt1,1.643,-3.323,0.5506,NotDiff,5.95,5.846,6.041,5.56
Dnajc12,4.918,-0.8186,0.5388,NotDiff,-0.002322,1.872,2.899,-2.126
Reep3,5.594,-0.1642,0.9,NotDiff,-4.271,-4.271,0.8228,-4.271
Jmjd1c,0.3098,4.156,0.5357,NotDiff,6.709,6.625,6.512,5.585
Nrbf2,4.943,-0.6612,0.645,NotDiff,0.09009,-4.271,0.5682,2.609
Ado,5.008,0.6436,0.6477,NotDiff,5.445,5.284,4.711,4.276
Rtkn2,-4.435,-3.429,0.7665,NotDiff,0.8228,-4.271,-4.271,-3.757
Arid5b,4.185,-0.4229,0.8075,NotDiff,6.133,6.664,4.484,5.67
1700040L02Rik,-2.542,-7.227,0.4284,NotDiff,10.22,9.984,10.11,10.4
Cdk1,7.106,-0.3182,0.7154,NotDiff,6.24,6,5.774,4.94
Ccdc6,4.636,1.031,0.5296,NotDiff,6.235,5.955,5.348,5.306
Tfam,6.268,-1.045,0.2083,NotDiff,5.984,5.439,5.891,6.02
Ube2d1,4.066,-0.1621,0.9423,NotDiff,-4.271,-4.271,1.511,1.53
Cisd1,7.292,-0.6281,0.394,NotDiff,5.498,5.664,6.318,5.725
Ipmk,3.947,1.079,0.5801,NotDiff,4.054,4.16,2.561,2.763
Zwint,6.057,0.6785,0.4897,NotDiff,3.088,4.32,3.313,3.593
Rab36,-3.109,-0.03987,0.9987,NotDiff,2.075,-0.1772,2.498,2.671
Bcr,1.443,-3.644,0.5366,NotDiff,1.838,2.065,2.279,2.268
Specc1l,3.489,0.5873,0.7824,NotDiff,5.866,5.951,5.615,5.54
Adora2a,7.16,0.2529,0.7541,NotDiff,2.433,-2.279,2.622,4.099
Gm5779,-0.3319,-0.2409,0.9842,NotDiff,4.691,4.304,5.334,5.351
Upb1,-0.7828,-2.235,0.7878,NotDiff,5.408,5.658,5.475,5.838
Gucd1,4.68,0.5541,0.7294,NotDiff,2.777,1.81,0.05311,-2.832
Snrpd3,7.18,-0.9184,0.1703,NotDiff,5.034,4.187,4.899,5.657
Ggt1,1.165,-4.155,0.5292,NotDiff,5.014,5.615,5.169,4.239
Ggt5,-1.848,8.899,0.2673,NotDiff,-4.271,-4.271,1.304,-4.271
Susd2,-4.308,-3.661,0.7547,NotDiff,3.764,4.109,5.113,3.767
Cabin1,4.533,-0.2789,0.8751,NotDiff,-4.271,-4.271,2.522,-0.09197
Ddt,6.02,-0.04379,0.9768,NotDiff,7.062,6.804,7.471,7.088
Gstt3,4.396,0.5952,0.7351,NotDiff,4.636,5.919,3.034,4.965
Gstt1,3.65,0.7552,0.7347,NotDiff,5.493,6.058,6.539,6.985
Gstt2,5.711,0.3939,0.7457,NotDiff,3.643,4.3,4.695,3.642
Mif,8.645,-0.7014,0.1895,NotDiff,7.133,6.811,7.581,7.643
Derl3,-3.731,-2.493,0.834,NotDiff,3.862,5.084,4.106,2.754
Smarcb1,7.672,-0.3899,0.6028,NotDiff,6.208,6.554,6.103,5.366
Mmp11,-2.883,-0.08383,0.9959,NotDiff,-0.4896,-4.271,0.6869,-4.271
Chchd10,5.279,-1.255,0.2552,NotDiff,2.897,-3.139,2.561,4.03
Vpreb3,-0.6935,-4.722,0.5605,NotDiff,3.673,3.893,3.341,3.071
Zfp280b,3.782,0.2399,0.9167,NotDiff,7.347,7.203,7.247,6.847
Prmt2,4.25,0.1093,0.9666,NotDiff,-0.2823,-0.4536,-0.4749,0.1577
S100b,-4.015,4.685,0.6998,NotDiff,1.973,-4.271,0.7428,0.268
Dip2a,-3.231,2.049,0.8646,NotDiff,4.619,5.403,4.052,4.656
Pcnt,3.331,-0.00522,0.9993,NotDiff,6.752,6.711,7.349,7.911
Ybey,-0.02427,0.1048,0.9931,NotDiff,3.755,-4.271,4.448,2.495
Mcm3ap,3.717,0.01944,0.9946,NotDiff,3.111,1.988,-4.271,-4.271
Lss,5.065,1.004,0.4232,NotDiff,-4.271,-4.271,1.802,-4.271
Pcbp3,-1.788,-8.936,0.261,NotDiff,5.035,3.565,5.29,4.251
Slc19a1,5.675,-0.8544,0.4388,NotDiff,5.932,6.069,6.071,6.01
Pofut2,5.029,0.9177,0.4716,NotDiff,4.086,5.362,4.303,3.847
Adarb1,0.3143,-5.318,0.4528,NotDiff,4.609,3.324,3.503,3.185
Fam207a,5.947,-0.3369,0.7494,NotDiff,6.471,5.235,5.819,5.322
Pttg1ip,6.935,1.037,0.1253,NotDiff,8.407,8.169,9.078,8.927
Sumo3,7.463,-0.4387,0.5923,NotDiff,-3.383,-4.271,1.788,-4.271
Ube2g2,6.781,0.3332,0.7319,NotDiff,7.192,7.778,7.941,7.776
Tspear,-2.384,1.431,0.9105,NotDiff,-0.1355,-4.271,1.207,-4.271
1810043G02Rik,2.313,-0.7535,0.8366,NotDiff,4.772,4.515,5.929,5.907
Pfkl,7.719,-0.7611,0.2373,NotDiff,-0.1708,-4.271,1.761,1.755
Icosl,-0.3888,4.076,0.607,NotDiff,4.05,3.764,3.515,3.813
D10Jhu81e,6.459,-0.5848,0.5326,NotDiff,5.301,3.056,4.859,3.797
Pwp2,4.263,0.1897,0.9229,NotDiff,2.439,-4.271,-4.271,-4.271
Trappc10,2.084,-0.7795,0.87,NotDiff,1.499,-4.271,-4.271,-2.126
Agpat3,7.364,-0.1796,0.8284,NotDiff,3.161,3.523,3.416,3.247
Rrp1,7.639,-0.2107,0.7818,NotDiff,2.541,-2.279,-1.565,1.677
Cstb,6.415,0.2527,0.7875,NotDiff,3.496,3.994,3.775,3.621
Pdxk,5.446,0.5219,0.6893,NotDiff,5.462,5.717,4.382,4.707
Ilvbl,6.325,-0.6276,0.5495,NotDiff,-4.271,-4.271,2.75,2.64
2610008E11Rik,2.133,0.1117,0.9856,NotDiff,5.756,4.64,6.374,5.936
Ppap2c,0.8957,-3.369,0.6299,NotDiff,5.599,5.319,4.864,4.341
Mier2,3.21,0.5105,0.8351,NotDiff,1.085,-4.271,3.503,2.73
Tpgs1,6.069,0.1569,0.8886,NotDiff,5.854,5.664,6.377,5.898
Cdc34,7.016,-0.2215,0.783,NotDiff,9.837,10.03,9.039,8.827
Gzmm,-0.6333,1.828,0.8187,NotDiff,7.556,7.31,6.716,6.158
Bsg,9.442,-0.5442,0.289,NotDiff,6.937,7.611,7.24,8.066
Hcn2,-3.382,-3.609,0.7494,NotDiff,6.622,7.256,7.056,6.192
Polrmt,2.323,0.8941,0.8025,NotDiff,2.252,-4.271,0.77,-4.271
Rnf126,5.826,-0.6066,0.5649,NotDiff,2.225,1.546,3.045,2.483
Palm,1.54,-0.1823,0.9817,NotDiff,7.556,7.095,8.225,8.002
E130317F20Rik,-2.953,0.48,0.9767,NotDiff,1.453,2.148,-4.271,0.8851
Ptbp1,8.298,-0.4769,0.4565,NotDiff,6.671,5.592,6.88,6.695
Lppr3,-4.208,4.273,0.7278,NotDiff,4.424,4.249,4.404,3.987
Med16,4.78,0.9475,0.4916,NotDiff,4.226,-1.355,3.703,1.925
R3hdm4,7.397,0.1523,0.8474,NotDiff,7.734,6.774,7.5,7.449
Arid3a,0.9002,-3.093,0.6204,NotDiff,7.262,7.805,8.015,7.473
Wdr18,7.558,-0.3674,0.6554,NotDiff,6.355,6.795,5.9,6.614
Tmem259,3.201,0.9612,0.7289,NotDiff,5.366,6.017,5.723,4.686
Cnn2,10.53,-0.2807,0.617,NotDiff,6.822,5.077,6.879,6.523
Abca7,4.197,0.7701,0.6766,NotDiff,3.408,1.242,-0.1869,4.161
Polr2e,7.955,-0.08434,0.922,NotDiff,3.959,-4.271,3.847,1.82
Gpx4,7.648,-0.4418,0.5559,NotDiff,3.553,3.455,2.561,3.293
Sbno2,3.085,-1.342,0.6353,NotDiff,6.074,6.212,6.133,5.859
Stk11,6.643,0.38,0.6813,NotDiff,7.079,6.709,7.224,7.055
Dos,2.875,0.1655,0.9671,NotDiff,0.1486,0.5861,-2.246,-0.5728
Atp5d,9.364,-0.6161,0.2673,NotDiff,9.212,9.12,9.808,9.629
Midn,1.898,-1.288,0.7633,NotDiff,-4.271,-3.139,-3.58,1.094
Cirbp,6.696,0.3961,0.659,NotDiff,3.42,1.576,3.7,0.6607
1600002K03Rik,2.985,-0.4547,0.8781,NotDiff,5.778,5.224,6.24,6.068
Mum1,4.877,0.7369,0.6032,NotDiff,1.973,0.7272,2.465,1.079
Ndufs7,6.785,-0.5166,0.5575,NotDiff,0.2851,-4.271,0.5049,-4.271
Gamt,-2.291,1.206,0.922,NotDiff,8.118,8.01,8.368,8.698
Dazap1,4.726,-0.8023,0.5817,NotDiff,1.678,-4.271,-4.271,-4.271
Rps15,8.73,-0.4592,0.4589,NotDiff,5.525,4.926,4.453,4.224
2310011J03Rik,6.737,-0.3086,0.7347,NotDiff,7.461,7.484,7.359,7.287
Pcsk4,-2.568,-7.332,0.4197,NotDiff,0.1769,-1.245,2.119,2.754
Reep6,-4.37,3.924,0.744,NotDiff,7.029,7.724,8.032,7.446
Mex3d,-1.421,0.2983,0.9834,NotDiff,3.405,4.226,1.775,3.427
Mbd3,6.647,-0.3769,0.7009,NotDiff,10.75,10.01,10.78,10.59
Uqcr11,6.847,-0.8777,0.2277,NotDiff,4.095,5.121,3.952,3.632
Tcf3,6.156,0.641,0.4915,NotDiff,7.336,7.806,6.881,6.017
Rexo1,3.781,-0.1368,0.9583,NotDiff,7.738,8.081,8.257,7.744
Klf16,4.562,0.06531,0.9792,NotDiff,7.801,7.024,7.868,7.899
Abhd17a,7.573,0.4554,0.5226,NotDiff,1.924,2.921,4.44,3.087
Adat3,3.312,-0.836,0.7388,NotDiff,6.692,6.979,6.526,6.376
Scamp4,6.928,-0.04918,0.9666,NotDiff,4.132,1.468,3.271,2.666
Csnk1g2,6.001,-0.287,0.7886,NotDiff,9.361,8.717,9.914,9.466
Btbd2,4.387,0.8442,0.6143,NotDiff,1.678,0.88,2.279,2.823
Mob3a,7.474,-0.07119,0.941,NotDiff,6.975,6.813,6.435,6.562
Izumo4,3.789,0.5486,0.775,NotDiff,3.822,1.515,3.078,3.558
Ap3d1,3.659,0.7164,0.7493,NotDiff,4.873,5.609,4.904,4.13
Dot1l,2.833,-0.2708,0.9393,NotDiff,6.718,6.276,7.477,6.67
Plekhj1,7.121,-0.6241,0.4158,NotDiff,2.197,-4.271,1.187,-4.271
Sf3a2,4.921,-0.4073,0.775,NotDiff,4.745,3.853,5.08,5.234
Oaz1,2.523,-0.4089,0.9135,NotDiff,8.787,8.193,8.992,8.948
Lsm7,4.403,-0.7364,0.6556,NotDiff,6.563,6.605,6.902,6.881
Sppl2b,3.502,0.4459,0.8524,NotDiff,-4.271,-4.271,1.511,0.7958
Timm13,7.532,-0.3901,0.6003,NotDiff,1.039,-4.271,-4.271,-4.271
Lmnb2,3.774,0.6487,0.7494,NotDiff,-2.838,0.8056,0.5988,-3.08
Gadd45b,5.499,-1.363,0.1835,NotDiff,6.855,5.997,7.073,6.664
Slc39a3,4.59,0.5139,0.749,NotDiff,6.451,6.357,7.341,7.24
Sgta,7.044,-0.1281,0.8961,NotDiff,6.384,6.57,5.906,5.766
Thop1,4.929,-0.8709,0.553,NotDiff,4.103,3.198,4.27,3.571
Map2k2,7.965,-0.2179,0.7669,NotDiff,5.349,3.748,4.448,4.713
Zbtb7a,5.772,-0.7206,0.5227,NotDiff,7.875,7.716,7.401,7.299
Pias4,4.483,0.5997,0.7274,NotDiff,3.267,2.396,4.114,3.497
Eef2,11.19,-0.02735,0.9675,NotDiff,6.917,6.883,7.006,6.905
Dapk3,6.648,-0.2335,0.7874,NotDiff,6.495,5.13,6.253,6.131
Atcayos,-2.033,-2.358,0.8081,NotDiff,4.375,5.233,4.423,3.527
Atcay,2.852,-0.2527,0.9418,NotDiff,8.112,8.353,6.582,6.852
Matk,5.515,1.187,0.2518,NotDiff,7.28,7.619,7.377,7.619
Mrpl54,7.246,-0.2541,0.7528,NotDiff,4.226,3.803,3.961,3.181
Apba3,3.256,0.747,0.7838,NotDiff,3.991,3.768,4.896,2.007
Tjp3,2.2,2.426,0.5721,NotDiff,3.685,1.591,2.637,3.456
Pip5k1c,3.341,1.327,0.6032,NotDiff,6.684,6.962,7.249,7.59
Cactin,3.963,1.795,0.3324,NotDiff,5.185,4.091,5.772,4.643
Tbxa2r,5.172,-0.3944,0.7606,NotDiff,2.285,2.486,2.288,3.071
Hmg20b,4.574,-0.6795,0.667,NotDiff,4.04,4.038,4.761,4.784
Fzr1,6.743,-0.172,0.8491,NotDiff,4.32,3.306,1.927,4.478
Dohh,6.65,-0.7102,0.4046,NotDiff,7.372,7.292,7.849,7.618
Smim24,3.568,-0.152,0.9555,NotDiff,4.218,3.8,4.397,2.701
Nfic,-0.9985,2.472,0.7766,NotDiff,5.357,4.187,6.321,6.138
Celf5,-4.469,3.711,0.7519,NotDiff,5.434,4.14,4.588,4.207
Ncln,5.75,0.8535,0.4079,NotDiff,6.713,7.241,7.451,6.773
S1pr4,6.736,1.036,0.1378,NotDiff,5.233,3.561,5.977,4.953
Gna15,5.862,1.146,0.2749,NotDiff,8.102,7.569,8.408,7.78
Gna11,4.74,0.4112,0.7821,NotDiff,5.206,5.563,6.814,5.509
Aes,8.022,-0.2229,0.7795,NotDiff,5.255,4.214,4.391,4.082
Sirt6,3.386,0.8715,0.7235,NotDiff,11.08,11.28,11.16,11.24
Ankrd24,-3.609,5.431,0.6271,NotDiff,6.665,6.372,6.903,6.656
Zfp433,-1.246,-3.59,0.7075,NotDiff,-0.5349,-4.271,0.947,-2.126
Zfp781,-0.7532,0.4213,0.9733,NotDiff,3.019,2.541,2.269,3.611
Zfp873,3.089,-0.1101,0.9772,NotDiff,6.336,5.858,4.922,4.951
AU041133,-2.742,-1.149,0.9318,NotDiff,7.285,6.921,7.595,7.184
Zfp938,1.57,-0.5773,0.9254,NotDiff,1.973,5.457,3.398,2.228
1190007I07Rik,3.731,-1.063,0.599,NotDiff,3.213,3.677,0.8986,1.079
Hcfc2,3.841,-0.004825,0.9993,NotDiff,3.213,4.91,2.744,2.523
Nfyb,6.659,-0.7776,0.3551,NotDiff,4.889,4.628,4.133,2.221
Txnrd1,6.071,0.1876,0.8578,NotDiff,5.379,4.484,5.612,5.221
Chst11,3.354,0.8587,0.7317,NotDiff,4.211,4.235,5.13,4.73
Slc41a2,-0.07689,-4.519,0.5403,NotDiff,6.474,6.845,6.977,6.68
D10Wsu102e,5.502,0.7008,0.5349,NotDiff,6.556,6.03,6.759,7.257
A230046K03Rik,2.397,-0.3519,0.9334,NotDiff,3.741,3.169,3.897,3.485
Appl2,1.326,-4.605,0.4662,NotDiff,-0.9599,1.451,2.161,-4.271
1500009L16Rik,5.525,-0.8814,0.4284,NotDiff,0.6515,-4.271,-4.271,-4.271
Ckap4,-2.342,-0.2043,0.9888,NotDiff,6.095,6.287,5.194,5.426
Tcp11l2,6.582,1.069,0.1639,NotDiff,7.265,7.226,6.375,6.082
Polr3b,3.356,-0.4791,0.8396,NotDiff,7.085,5.754,5.047,5.568
Ric8b,-0.2275,5.72,0.4489,NotDiff,5.629,4.152,4.65,4.538
Fhl4,-4.606,-3.114,0.7878,NotDiff,8.551,7.222,8.181,8.133
Tmem263,5.092,-0.2618,0.8624,NotDiff,4.011,3.523,3.398,2.635
Mterf2,1.857,-5.411,0.3833,NotDiff,2.48,-3.597,-4.271,-4.271
Cry1,5.784,0.3835,0.7388,NotDiff,-0.06739,-4.271,0.008207,1.237
Btbd11,-2.241,-7.911,0.3643,NotDiff,-1.388,0.5861,-1.435,-0.3527
Pwp1,6.258,-0.647,0.5068,NotDiff,2.278,3.787,3.975,2.345
Prdm4,3.813,1.727,0.3836,NotDiff,-0.8994,-4.271,2.569,-4.271
Rtcb,8.014,0.1755,0.8089,NotDiff,-0.63,4.109,-0.5401,3.519
Fbxo7,5.838,0.6439,0.5296,NotDiff,3.217,3.189,4.291,4.246
Syn3,-3.162,-0.7679,0.9601,NotDiff,4.455,3.265,3.078,4.583
1810014B01Rik,1.331,-3.919,0.4891,NotDiff,6.343,6.228,6.667,7.401
Hsp90b1,9.435,-0.3024,0.6089,NotDiff,6.284,6.031,5.987,5.983
Nt5dc3,-3.154,0.3011,0.986,NotDiff,3.846,3.85,2.307,3.436
Parpbp,3.355,-1.386,0.5557,NotDiff,1.214,-4.271,2.098,2.449
Nup37,4.695,-1.547,0.2903,NotDiff,5.913,5.826,4.881,5.393
Ccdc53,5.939,0.05809,0.9695,NotDiff,2.854,1.35,3.163,2.268
Dram1,-0.7944,5.198,0.5283,NotDiff,3.915,-4.271,3.089,4.333
Gnptab,4.861,0.5822,0.697,NotDiff,5.212,4.996,5.566,6.333
Chpt1,5.595,-0.5587,0.6299,NotDiff,0.7109,-4.271,2.481,-4.271
Arl1,7.02,-0.2748,0.7457,NotDiff,6.867,7.428,5.718,6.316
Utp20,1.505,0.2818,0.9678,NotDiff,3.179,3.218,2.716,4.336
Gas2l3,-4.325,-3.724,0.7493,NotDiff,2.61,2.462,0.5682,-4.271
Scyl2,4.566,0.3412,0.8238,NotDiff,-4.271,-4.271,0.6288,-4.271
Actr6,3.775,0.314,0.8937,NotDiff,4.175,5.933,4.739,5.53
Uhrf1bp1l,4.234,0.7764,0.6846,NotDiff,4.161,-4.271,4.06,5.234
Apaf1,4.634,0.2616,0.8737,NotDiff,6.282,5.684,5.245,5.931
Ikbip,2.314,1.559,0.7018,NotDiff,-4.271,-4.271,2.431,1.167
Slc25a3,9.909,-0.4993,0.3166,NotDiff,6.447,5.386,6.35,6.851
Tmpo,8.259,-0.0795,0.9216,NotDiff,4.723,4.628,2.965,2.957
Nedd1,5.161,-0.5442,0.6962,NotDiff,7.764,8.472,7.78,8.039
Cdk17,6.171,0.8469,0.3665,NotDiff,6.073,6.271,5.427,5.585
Mir1931,-1.719,1.626,0.8751,NotDiff,-4.271,-0.5809,1.039,-4.271
Elk3,3.9,1.352,0.4704,NotDiff,-0.002322,-1.048,2.965,3.593
Gm17745,2.671,-2.402,0.4915,NotDiff,9.429,9.119,9.739,9.452
Lta4h,8.349,-0.1632,0.8048,NotDiff,-0.2442,-4.271,0.2588,-4.271
Amdhd1,-0.4622,-4.325,0.5888,NotDiff,2.232,3.174,4.238,3.802
Usp44,-2.906,-6.888,0.4716,NotDiff,4.762,3.013,5.069,5.948
Metap2,8.097,-0.749,0.1913,NotDiff,6.196,5.725,5.838,6.002
Vezt,3.108,-0.4844,0.8528,NotDiff,0.9598,2.7,-0.24,-4.271
Nr2c1,1.562,2.075,0.7167,NotDiff,5.148,5.216,4.214,4.873
Ndufa12,7,-0.6086,0.4356,NotDiff,5.408,5.247,5.618,6.11
Tmcc3,2.317,-2.009,0.6179,NotDiff,7.024,6.725,7.189,7.142
Cep83os,3.23,0.4076,0.8752,NotDiff,1.783,1.35,2.353,0.6197
Cep83,3.694,0.7595,0.7276,NotDiff,-4.271,-4.271,0.18,-3.757
Plxnc1,4.391,-0.3802,0.8141,NotDiff,4.542,5.033,3.966,4.732
Cradd,2.665,-0.4709,0.8886,NotDiff,3.47,4.646,2.659,4.342
Socs2,2.49,2.937,0.4703,NotDiff,4.862,4.15,5.052,2.885
Mrpl42,7.881,-0.4787,0.5099,NotDiff,5.188,4.331,4.221,4.806
Ube2n,6.623,0.01678,0.9894,NotDiff,3.526,2.065,4.032,-0.2733
Nudt4,6.151,0.387,0.7225,NotDiff,9.688,9.638,10.02,10.29
Eea1,2.101,0.04364,0.9943,NotDiff,8.101,8.354,8.178,8.404
4930459C07Rik,-4.692,-2.957,0.8014,NotDiff,4.986,4.855,4.928,5.883
Btg1,9.786,0.531,0.3166,NotDiff,6.502,6.746,5.377,6.061
Dcn,-4.399,3.863,0.7468,NotDiff,-0.9599,-0.4536,-4.271,0.7395
Atp2b1,5.628,0.5548,0.6353,NotDiff,4.713,4.458,3.051,3.394
Poc1b,3.709,0.5828,0.7743,NotDiff,1.369,1.677,3.616,4.071
Galnt4,-2.204,0.9594,0.9415,NotDiff,8.154,8.391,8.387,8.463
Dusp6,7.088,0.4074,0.6299,NotDiff,-4.271,1.591,1.061,2.061
4930430F08Rik,0.2836,1.43,0.8408,NotDiff,5.912,5.972,6.916,7.325
Mettl25,0.9066,-5.234,0.4565,NotDiff,-4.271,-4.271,-0.8351,1.847
Ccdc59,6.488,-0.4279,0.6433,NotDiff,7.75,7.688,8.569,8.383
Ppp1r12a,4.061,0.505,0.7772,NotDiff,2.104,3.806,3.304,3.247
E2f7,2.312,0.009075,0.9993,NotDiff,1.924,3.613,-0.68,1.519
Csrp2,3.208,1.041,0.6981,NotDiff,6.488,6.922,7.351,7.243
Zdhhc17,0.5242,-1.129,0.8781,NotDiff,-0.06739,2.945,3.601,2.872
Osbpl8,4.564,0.1208,0.9544,NotDiff,3.107,3.828,3.023,2.985
Nap1l1,8.441,-0.572,0.3417,NotDiff,3.942,4.137,3.834,2.881
Phlda1,4.708,0.4512,0.7606,NotDiff,4.766,3.572,4.482,4.756
Krr1,4.567,0.1793,0.9216,NotDiff,1.698,3.431,2.538,3.033
Glipr1,7.613,0.5526,0.437,NotDiff,3.378,4.122,4.214,-1.557
Atxn7l3b,7.155,-0.2177,0.7826,NotDiff,7.23,8.076,8.229,7.99
Tbc1d15,6.435,0.4616,0.6242,NotDiff,6.309,7.012,6.391,6.784
Tmem19,5.168,0.05744,0.9753,NotDiff,6.065,6.692,5.669,6.18
Thap2,3.608,-0.2523,0.9172,NotDiff,1.792,2.327,3.067,1.277
Zfc3h1,1.85,-0.4348,0.9377,NotDiff,-4.271,-4.271,0.2966,-4.271
Kcnmb4,-2.831,-0.5969,0.9709,NotDiff,9.938,10.19,9.221,9.794
Cnot2,6.403,0.165,0.87,NotDiff,0.9267,-4.271,-4.271,-4.271
Rab3ip,6.964,0.0448,0.9716,NotDiff,5.684,6.199,5.05,5.585
4933412E12Rik,3.118,0.6927,0.7841,NotDiff,3.969,4.211,2.522,4.152
Cct2,8.958,-0.1764,0.7711,NotDiff,2.112,-4.271,1.619,-4.271
Frs2,-2.43,-1.9,0.8597,NotDiff,7.527,7.061,6.662,7.104
Yeats4,6.894,-0.09392,0.9268,NotDiff,0.4799,1.718,-1.316,0.4891
Lyz2,3.652,-0.1265,0.9649,NotDiff,2.615,-4.271,2.109,4.945
Cpsf6,6.975,-0.378,0.6604,NotDiff,6.283,6.266,6.71,6.697
Cpm,3.368,0.6041,0.7994,NotDiff,4.468,4.022,4.526,3.243
Mdm2,5.246,1.504,0.1778,NotDiff,2.134,2.72,1.664,2.777
Slc35e3,1.576,-1.097,0.8195,NotDiff,4.209,2.939,3.831,1.882
Nup107,4.734,1.693,0.2009,NotDiff,2.355,-2.279,0.6288,1.736
Rap1b,9.526,0.01648,0.9868,NotDiff,4.189,5.274,3.597,5.207
Mdm1,3.881,-0.08447,0.9801,NotDiff,8.114,8.197,8.76,8.694
Ifng,7.796,-0.8516,0.1807,NotDiff,5.407,4.37,4.663,4.403
Tmevpg1,-1.305,-2.043,0.821,NotDiff,4.457,4.918,4.305,4.597
Dyrk2,2.598,0.4353,0.9036,NotDiff,7.921,7.834,7.609,7.091
Cand1,6.422,0.215,0.8131,NotDiff,7.169,6.927,7.104,7.42
Helb,3.717,-0.3751,0.862,NotDiff,6.46,6.877,6.343,6.064
Irak3,-3.993,4.733,0.697,NotDiff,5.114,3.324,6.307,7.302
Tmbim4,6.279,0.001017,0.9994,NotDiff,5.158,5.255,5.061,5.203
Llph,5.767,-0.1981,0.8614,NotDiff,3.444,3.591,3.437,3.981
Hmga2,-4.161,2.73,0.814,NotDiff,2.291,0.5561,3.649,0.9854
Lemd3,-1.531,7.745,0.3612,NotDiff,-0.5349,-4.271,1.828,-4.271
Tbc1d30,3.534,-0.02155,0.9946,NotDiff,6.547,6.455,6.018,6.595
Gns,2.929,0.7334,0.7861,NotDiff,6.77,7.198,7.181,6.706
Rassf3,3.095,-0.2451,0.9377,NotDiff,3.444,3.189,4.277,1.595
Tbk1,4.16,0.8763,0.6299,NotDiff,8.773,8.973,9.029,9.055
Xpot,4.68,1.178,0.4189,NotDiff,-0.8414,-4.271,0.09666,-2.436
BC048403,-0.6447,-2.896,0.7351,NotDiff,6.856,6.865,6.652,7.203
Tmem5,5.026,0.3902,0.7694,NotDiff,3.224,4.059,3.519,3.825
Avpr1a,-4.098,4.013,0.7388,NotDiff,6.609,6.996,6.989,7.307
Ppm1h,6.315,0.7578,0.4284,NotDiff,2.763,4.745,3.012,2.977
Mon2,2.894,1.07,0.7293,NotDiff,6.232,5.616,5.268,3.873
Usp15,5.93,-0.1257,0.9268,NotDiff,1.846,0.2912,1.543,2.71
Xrcc6bp1,3.478,0.03916,0.9894,NotDiff,5.336,5.716,4.749,3.146
Ctdsp2,3.665,-0.8621,0.7092,NotDiff,9.391,9.717,9.065,9.932
Tsfm,5.646,-0.653,0.5638,NotDiff,2.701,5.326,2.994,4.523
Mettl1,4.346,-0.08181,0.974,NotDiff,7.823,6.882,8.219,8.26
Cdk4,9.317,-0.4997,0.3573,NotDiff,1.186,-4.271,-0.03814,-0.198
Tspan31,8.079,-0.1099,0.8879,NotDiff,2.858,2.799,2.316,2.454
Agap2,1.426,2.991,0.5888,NotDiff,6.593,6.443,6.468,6.186
Os9,7.097,0.4215,0.617,NotDiff,3.556,3.649,3.094,4.588
B4galnt1,9.086,-0.1248,0.8478,NotDiff,2.53,-4.271,-4.271,-4.271
Arhgef25,0.2463,-3.796,0.599,NotDiff,6.092,6.488,6.284,6.255
Dtx3,3.77,0.9761,0.6416,NotDiff,5.607,5.738,5.882,5.846
Pip4k2c,4.694,1.447,0.2875,NotDiff,0.311,-4.271,-4.271,-3.757
Kif5a,-4.592,-3.141,0.7869,NotDiff,2.044,2.74,-3.58,-4.271
Dctn2,7.159,-0.2275,0.7762,NotDiff,2.615,4.712,2.899,3.933
Mbd6,-1.005,3.265,0.7279,NotDiff,3.833,2.786,2.109,3.021
Ddit3,3.776,-0.7511,0.7235,NotDiff,3.675,2.216,2.874,3.642
Mars,7.611,-0.02821,0.9814,NotDiff,4.998,4.221,3.295,4.141
Arhgap9,8.065,0.5371,0.4242,NotDiff,4.931,5.687,3.903,4.209
