"FeatureName,KO - CD8a+ Log2 Fold Change,TG - CD8a+ Log2 Fold Chang,GeneName,X_LogCPM,Y_LogFC,AdjPval,DGE_Category,BATF_invivo_logCPM,BATF_invivo_logCPM,pMIG_invivo_logCPM,pMIG_invivo_logCP"
"['Trim12a', '-8.107910795', '8.10791079', 'Trim12a', '5.471', '0.673', '0.5537', 'NotDiff', '6.369', '6.601', '6.369', '5.78']"
"['Atp1b1', '-6.239155328', '6.23915532', 'Atp1b1', '-1.687', '-5.741', '0.5327', 'NotDiff', '5.439', '4.263', '4.109', '4.94']"
"['Igsf23', '-5.300555873', '5.30055587', 'Igsf23', '-1.633', '-4.113', '0.6777', 'NotDiff', '5.804', '6.076', '6.032', '5.64']"
"['1810006J02Rik', '-4.937985793', '4.93798579', '1810006J02Rik', '0.31', '2.659', '0.7167', 'NotDiff', '6.889', '6.357', '7.048', '6.75']"
"['Lyn', '-4.246108089', '4.24610808', 'Lyn', '0.5297', '-4.109', '0.5691', 'NotDiff', '2.823', '3.511', '1.903', '2.65']"
"['Klra7', '-6.745340715', '6.74534071', 'Klra7', '-0.7169', '3.572', '0.693', 'NotDiff', '2.021', '1.966', '-4.271', '0.442']"
"['Cebpb', '-2.513959511', '2.51395951', 'Cebpb', '6.195', '0.4666', '0.6777', 'NotDiff', '3.027', '2.824', '2.868', '-4.27']"
"['Nt5e', '-3.264931963', '3.26493196', 'Nt5e', '4.529', '-0.1453', '0.9402', 'NotDiff', '4.484', '5.034', '3.863', '2.69']"
"['Tmem176b', '-4.743074109', '4.74307410', 'Tmem176b', '-0.5049', '-1.805', '0.8278', 'NotDiff', '4.439', '4.812', '3.523', '4.34']"
"['Pygl', '-4.563590279', '4.56359027', 'Pygl', '1.67', '1.205', '0.8025', 'NotDiff', '-4.271', '-4.271', '0.3335', '0.832']"
"['Trf', '-5.300555873', '5.30055587', 'Trf', '3.832', '0.03868', '0.9909', 'NotDiff', '2.104', '3.549', '3.1', '2.98']"
"['Fcer1g', '-4.005749121', '4.00574912', 'Fcer1g', '-3.537', '2.824', '0.8041', 'NotDiff', '7.136', '7.071', '7.4', '7.80']"
"['Bmyc', '-3.114142749', '3.11414274', 'Bmyc', '4.405', '-2.496', '0.08568', 'Up pMIG', '8.496', '8.148', '8.498', '8.65']"
"['Ier5l', '-2.486254885', '2.48625488', 'Ier5l', '3.567', '-1.332', '0.5341', 'NotDiff', '5.002', '4.621', '5.356', '4.18']"
"['Trim30d', '-5.522948294', '5.52294829', 'Trim30d', '2.281', '-0.007679', '0.9993', 'NotDiff', '5.36', '5.258', '5.057', '4.81']"
"['Tyrobp', '-4.838975788', '4.83897578', 'Tyrobp', '-0.3852', '-4.002', '0.6165', 'NotDiff', '5.899', '5.742', '5.8', '5.29']"
"['Rgs10', '-2.437166916', '2.43716691', 'Rgs10', '6.082', '0.6756', '0.4817', 'NotDiff', '3.556', '3.503', '2.514', '2.51']"
"['Tcf7', '-2.477729542', '2.47772954', 'Tcf7', '6.602', '-1.749', '0.01612', 'Up pMIG', '5.666', '4.762', '4.733', '4.83']"
"['Trat1', '-3.367670069', '3.36767006', 'Trat1', '2.203', '0.3275', '0.9435', 'NotDiff', '-3.76', '1.62', '1.187', '1.5']"
"['Samd3', '-3.185078655', '3.18507865', 'Samd3', '4.019', '-0.8963', '0.638', 'NotDiff', '3.043', '5.284', '2.644', '3.43']"
"['Itgae', '-2.945075218', '2.94507521', 'Itgae', '0.7795', '5.812', '0.4004', 'NotDiff', '0.5025', '2.855', '-1.708', '-4.27']"
"['Ldlrad4', '-3.087562149', '3.08756214', 'Ldlrad4', '4.479', '0.9715', '0.5297', 'NotDiff', '7.829', '7.114', '7.644', '7.42']"
"['Gas7', '-3.876058044', '3.87605804', 'Gas7', '-2.92', '0.9708', '0.943', 'NotDiff', '4.487', '1.872', '1.998', '4.18']"
"['Cdh1', '-3.393665277', '3.39366527', 'Cdh1', '-4.043', '4.626', '0.7041', 'NotDiff', '5.877', '5.656', '6.053', '6.38']"
"['Dhrs3', '-4.83107059', '4.8310705', 'Dhrs3', '1.005', '-7.346', '0.2654', 'NotDiff', '2.862', '0.7538', '2.221', '3.04']"
"['Nrarp', '-2.519196159', '2.51919615', 'Nrarp', '2.402', '4.329', '0.3518', 'NotDiff', '2.905', '2.344', '1.495', '3.49']"
"['Lmna', '-2.05559748', '2.0555974', 'Lmna', '4.028', '2.159', '0.2185', 'NotDiff', '4.347', '4.667', '3.882', '4.21']"
