Csf2,-3.349089408,0.155540919,0.142794345
Trim12a,-7.835101626,-12.27481491,0.966362488
Penk,-3.528820678,5.448170658,0.873716949
Rpl29,-3.297888595,-4.789411301,1.425664124
Nrgn,-2.44780616,-0.703931977,0.835486293
Nrn1,-2.221273571,-0.711075672,0.323391547
Ccrl2,-2.413637858,1.973613764,0.394648686
Gm47283,-2.243635606,-0.898782304,0.571003051
Cd83,-1.614550552,2.115703378,1.568801179
Gpm6b,-1.472776591,-0.642623069,0.522382642
Trbv20,-1.697598102,-0.640384456,1.04307598
Ccr8,-1.59684855,0.830680921,0.212896494
Ikzf2,-1.914579165,0.076722285,0.083224028
Plk2,-1.337016576,1.169209614,0.791544555
Csf1,-1.274232406,0.916070723,0.713792609
Cd74,-1.484490011,2.991874476,1.129097966
Jdp2,-1.371596808,0.287512852,0.393327867
Ly6g5b,-1.413219746,0.104352171,0.394888523
Matk,-1.2379872,-1.094588059,0.644417451
Sqle,-1.290712867,0.631466336,1.50067936
Trbv19,-1.328964304,-0.002500767,0.017114888
Ifi211,-1.319401788,1.727239146,0.243547619
Ccr7,-1.05057984,-0.244755917,0.56314998
Hdgfl3,-1.342282224,-1.793325337,1.075823934
Klri2,-0.89172914,1.963324264,0.672199438
Fdps,-1.216716124,0.464907275,1.09865349
Irs2,-1.317304136,0.008875349,0.084690445
Ifitm1,-0.940057875,-0.871346841,0.375799919
Ifitm2,-0.954212492,-0.434073888,0.491027547
Tnfrsf4,-1.001130794,-0.375459163,0.941808316
C1qtnf12,-1.019348866,-0.5240742,0.925077653
Tent5a,-0.934924067,-0.292882409,0.738265276
Fut7,-0.877584957,-0.37345713,0.522382642
Mov10,-1.190899922,-0.018568119,0.138721228
Hmgcs1,-1.051869498,0.377039783,0.849667619
Cables1,-1.032615744,0.707899254,0.190854826
Nmrk1,-0.889832779,-0.030786981,0.017008652
Dusp16,-0.851589749,0.431101974,0.907244672
Fdx1,-0.984073392,-0.276984265,0.802744121
Uap1,-0.794947084,0.412806405,0.92813209
Prdx4,-0.988802436,-0.264183401,0.353183799
Lrrc8d,-0.842155468,-0.024354574,0.068009262
Pdcd1,-0.745366449,0.34206831,0.47612955
Mapkapk3,-0.843746517,-0.150545252,0.160117351
Il21r,-0.902370678,0.23362925,0.804593497
Lmna,-1.258661477,-0.305252231,0.315827496
Irf8,-0.653789818,1.201238512,0.577176698
Inpp4b,-0.695550274,-0.145370087,0.490096856
Litaf,-0.833093038,0.67140837,0.567070851
Gm43305,6.067273488,6.259781705,1.490444992
AA465934,5.423758805,0.735897097,0.936057799
Gm42031,5.327453897,6.579800796,1.345541133
Gm46620,3.861182879,0.905506444,0.635717418
Ecm1,3.430272112,0.089707601,0.035098887
Ccl4,3.410569372,0.127060262,0.151364764
Ccl3,3.39906326,0.812168519,0.35847731
Trbv16,2.941097052,-2.19526327,1.490789384
Ankrd37,2.873982186,0.332016778,0.38003801
Phlda3,2.795468873,0.294361045,0.703011647
Gm4316,2.647370234,0.861978174,0.827380927
Itga4,2.370108902,-0.586940865,2.734987938
Egr2,2.342030379,0.744721762,0.796264836
Dusp6,2.149215102,0.098399103,0.033245807
Gm42047,1.984696175,-0.256061624,0.443545305
mt-Nd3,1.92215678,5.268099465,1.236388199
Prdm1,1.907402152,1.481504408,2.249209657
Ifng,1.868108814,1.973515962,0.330483036
Tnfrsf9,1.776358927,1.987175856,0.80453545
Cdkn1a,1.753572366,1.108402448,1.242428337
Hspa1b,1.719087327,0.979134212,0.439227162
Gm20069,1.70864251,-0.359831942,0.342212715
Fos,1.708036158,1.174658735,0.678300826
Gimap7,1.655326568,1.167151582,0.644236723
Egr1,1.653645559,0.899487388,1.295734292
Snhg15,1.648936891,0.250613644,0.433581552
Jun,1.638604123,0.742344657,1.263509036
Zbtb32,1.596627082,1.717447023,0.590673046
Hspa1a,1.57947495,-0.206450877,0.0
Serpine2,1.525696333,1.04907833,2.159924807
Sdcbp2,1.50287231,-0.152263343,0.107654734
Gm30054,1.478300714,-0.700020612,0.560411694
Setbp1,1.449144124,1.041389673,1.964059645
Casp4,1.439242266,2.551216655,0.690618356
Plin2,1.434548445,0.807431078,0.346116086
Cdk5rap1,1.430383196,0.685873883,0.363891062
Acp5,1.427038404,-0.203633576,1.127600667
Ccl5,1.422455832,1.013602974,0.84525574
Stard10,1.338655237,0.158945246,0.375890055
Scpep1,1.336358274,1.669561391,1.407057876
Tg,1.311857042,-0.280827519,0.374536632
Phlda1,1.298584447,0.406832636,0.729902308
Vsir,1.271755712,-0.201824291,0.615054132
Ipcef1,1.269845406,-0.249934447,0.367848576
Eomes,1.268186182,0.670878256,0.314334211
Pou2f2,1.256934708,0.162677718,0.82656091
Gzmb,1.24187367,0.832781483,0.407124241
Sema7a,1.197169563,1.521968267,0.507901241
Klrc2,1.185608869,1.675322066,0.47612955
Lilr4b,1.183766314,2.357848628,1.031651355
Gadd45g,1.174542164,1.345043954,0.569316455
Ccr2,1.164674997,2.376410296,0.786189716
Trbv13-2,1.156814513,-2.571317262,1.262961366
Irf4,1.142561616,0.658269242,1.208373059
Cnih2,1.127381295,-0.287537067,0.611597148
Chn2,1.125449103,1.231250861,0.715721241
Ifi214,1.12368001,0.123976487,0.416446398
Glcci1,1.121102905,0.271959063,1.467264922
Ccng1,1.098943021,-0.001046862,0.05045868
Fam214b,1.096341531,-0.108847171,0.066532138
Smox,1.094416426,-0.381508158,0.540719492
Tspan3,1.059716137,0.129567788,1.267640696
Havcr2,1.051588709,1.092327229,0.352189517
