Csf2,-2.740599794,0.435038142,0.218759238
Trim12a,1.594384454,-0.163859225,0.426377478
Penk,-0.904253247,1.664961823,0.058322591
Rpl29,0.996316966,0.158064365,0.747098559
Nrgn,-0.961920615,1.007940771,1.493551863
Nrn1,-2.259066882,0.497485845,0.045321546
Ccrl2,0.580110323,-0.104361096,0.137629763
Gm47283,0.9489861,0.752038109,0.734345742
Cd83,-1.32988822,0.600351376,0.283345535
Gpm6b,-3.607962025,-0.267887431,0.186144876
Trbv20,-0.207256817,0.19013496,0.531886326
Ccr8,-0.617239839,1.614420214,1.317065008
Ikzf2,1.013849666,0.432283444,0.28809599
Plk2,-1.797932969,0.272545853,0.127227667
Csf1,-3.975273916,0.259579509,1.611307237
Cd74,-0.102381945,0.657981973,0.76861493
Jdp2,-0.888698432,-0.002344678,0.049972883
Ly6g5b,-0.160503048,0.650006033,0.854296354
Matk,-1.618609269,0.220225701,0.106795329
Sqle,0.272456359,0.542582261,0.252192793
Trbv19,0.504949371,0.255929351,0.37574171
Ifi211,0.687493859,-0.852598015,0.695651145
Ccr7,-1.063146672,0.050318264,0.16956642
Hdgfl3,0.799002174,-0.006195213,0.035021957
Klri2,-3.65526774,-0.117809845,0.173046253
Fdps,0.368716901,0.27897682,0.15006133
Irs2,0.815914278,-0.107257656,1.264126874
Ifitm1,-2.079831399,-0.44478723,0.368028527
Ifitm2,-1.722307709,-0.157709052,0.133175813
Tnfrsf4,-0.815392178,0.208861773,0.331819332
C1qtnf12,-0.315417737,-0.007609577,0.01134955
Tent5a,-1.059371914,-0.562993631,0.811473193
Fut7,-1.08573528,0.63506859,1.321438049
Mov10,0.786043748,0.284481806,0.584267006
Hmgcs1,0.346456941,0.274860111,0.019757481
Cables1,0.253563266,0.145559323,0.0557384
Nmrk1,-0.661325251,0.145277835,0.47909214
Dusp16,-0.740599794,0.105862162,0.203657503
Fdx1,0.322955841,0.222584399,0.257253588
Uap1,-0.992625875,-0.023063464,0.066722926
Prdx4,0.536871996,0.263563401,0.541197859
Lrrc8d,-0.245989211,0.025552129,0.044398627
Pdcd1,-1.178538637,0.334619866,0.15823076
Mapkapk3,-0.057356341,0.254999805,0.85538359
Il21r,0.27912009,-0.00738995,0.416916949
Lmna,1.483011635,0.455899816,1.321870938
Irf8,-1.90270529,-0.349734071,0.422808823
Inpp4b,-0.549473076,0.062869678,0.067588036
Litaf,0.330564236,-0.07309811,0.169033124
Gm43305,-2.144219635,0.712473946,0.04336118
AA465934,-1.940537364,-0.559041148,1.409334412
Gm42031,-1.693982005,0.795529487,0.066199875
Gm46620,-2.065125,0.06774295,0.001922318
Ecm1,-2.528325909,0.480199298,0.613398577
Ccl4,-6.335424146,-0.518864357,0.334522442
Ccl3,-6.220853269,-0.668517341,0.36580254
Trbv16,-3.51190692,0.278221201,0.612885774
Ankrd37,-2.564569429,0.252052475,0.206943158
Phlda3,-1.60260879,-0.084261523,0.160688455
Gm4316,-0.870996431,-0.225793578,1.007701107
Itga4,0.497878593,-0.451887535,1.717880833
Egr2,-2.153198247,0.274262153,0.014100058
Dusp6,-0.748377144,0.050182249,0.041691564
Gm42047,-0.540135211,0.41639965,0.134986839
mt-Nd3,-0.505151219,0.273646242,0.340954069
Prdm1,-1.28603393,-0.18743172,0.183123794
Ifng,-3.132174325,-1.015133333,0.613800964
Tnfrsf9,-1.391793847,0.173974301,0.126870936
Cdkn1a,-1.99583803,-0.20702719,0.226867402
Hspa1b,0.635091048,-0.060050158,0.349623843
Gm20069,-0.123603465,-0.109062267,0.295694521
Fos,-0.062527888,0.209054077,0.097029275
Gimap7,-2.133244841,-0.817091565,1.789153087
Egr1,-1.95282877,0.361449177,0.022492763
Snhg15,-2.047562777,-0.1969718,1.220481901
Jun,-1.249134347,-0.524413568,1.296381599
Zbtb32,-3.659140749,-0.197786971,0.259817554
Hspa1a,0.700179118,-0.680822516,0.871645359
Serpine2,-7.438412676,-1.28417565,0.418565958
Sdcbp2,-1.907271817,-0.257237814,0.504893705
Gm30054,-1.052293831,-0.405362356,0.361094756
Setbp1,-1.779073941,0.265964947,0.290322112
Casp4,-1.194111441,-0.471640941,0.432301608
Plin2,-1.252647762,0.834962251,2.523482017
Cdk5rap1,-0.08573528,0.875638186,1.189848165
Acp5,-0.985886351,-0.10271442,0.171046726
Ccl5,-0.38097983,-0.074182002,0.246963262
Stard10,-1.590040117,-0.069061485,0.126711502
Scpep1,-0.523612755,0.185597988,1.397407054
Tg,-4.57280558,-0.321437919,0.282020152
Phlda1,-1.052616005,0.366530812,0.605929662
Vsir,-0.972983986,-0.081019521,0.176161607
Ipcef1,-1.281574282,-0.0115081,0.090633551
Eomes,0.125863862,0.407036874,0.258513301
Pou2f2,-2.613295469,0.096427007,0.737367494
Gzmb,-1.865770438,0.377945844,0.027055681
Sema7a,-4.312506141,-0.001233735,0.087079259
Klrc2,-0.214842882,-0.430108525,0.186820533
Lilr4b,-0.517207237,0.202965459,0.28790845
Gadd45g,-0.389127423,0.461170608,0.377195877
Ccr2,-0.392594053,0.658188481,0.393768464
Trbv13-2,-0.039775237,0.182669932,0.319565358
Irf4,-1.823258868,-0.165382779,0.194663687
Cnih2,-5.145856272,-0.169617882,0.219873887
Chn2,-0.187315879,1.178550955,0.792869512
Ifi214,-1.28603393,-0.639807888,1.257023749
Glcci1,0.132570184,0.117448661,0.507766451
Ccng1,-0.929355689,-0.203316519,0.200206118
Fam214b,-1.502689982,0.303337315,0.420320938
Smox,-1.006879859,0.512046684,0.359256125
